Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup	BasinId	elev_mean	slope_mean	area_gages2	runoff_ratio	baseflow_index	stream_elas
2	89	0	0.660635	0.714	0.890239	1.052794	1.093758	1.528239	1.202003	0.81369	12107	3.9	0.715	2	1669520	25.42	4.97296	277.39	0.346317408	0.598059019	1.744023436
2	90	0	0.729056	0.823	0.864717	0.985367	1.035881	1.661316	1.511501	0.856078	12404	5.1	0.827	2	2011400	783.86	73.92744	407.72	0.301920852	0.541782729	1.994207742
2	91	0	0.611991	0.638	1.764034	1.402765	1.364404	2.832068	2.008042	0.786213	12467	-2.7	0.639	2	2011460	878.38	77.10338	156.34	0.42832497	0.446487038	1.631499659
2	92	0	0.647658	0.763	1.28151	0.991703	0.995134	2.159023	1.861694	0.806692	12424	0.3	0.763	2	2013000	691.82	70.85988	424.78	0.321789374	0.455218847	1.601095155
2	93	0	0.702967	0.802	1.036017	1.069516	1.089633	1.900999	1.681934	0.839708	12434	1.9	0.802	2	2014000	691.04	73.63034	396.78	0.341059347	0.542675135	1.705380345
2	94	0	0.624965	0.697	1.421033	1.349743	1.25426	2.320522	1.837519	0.791617	12401	-7.1	0.703	2	2015700	753.52	68.72646	285.41	0.424175011	0.55909195	1.623717602
2	95	0	0.754763	0.793	1.061243	1.142724	1.029901	2.143084	1.870832	0.870369	12480	-9.9	0.811	2	2016000	645.04	66.42056	1194.55	0.36749796	0.497768563	1.795241115
2	96	0	0.65316	0.732	1.144659	1.17142	1.181706	1.943698	1.579459	0.808212	12422	0.9	0.732	2	2017500	695.27	69.63081	276.15	0.386444505	0.51108549	1.64859488
2	97	0	0.723411	0.8	1.0808	1.105175	1.046032	2.05516	1.801763	0.851399	12463	-5.4	0.805	2	2018000	648.68	66.96658	852.34	0.36449246	0.509781835	1.331112312
2	98	0	0.601371	0.631	1.598886	1.619607	1.485143	2.532506	1.810974	0.780002	12473	-8.3	0.636	2	2027000	387.44	57.5512	240.77	0.473552146	0.57008876	1.773015166
2	99	0	0.547257	0.649	2.190285	1.853767	1.702906	3.255308	2.525351	0.741987	12458	-8.1	0.655	2	2027500	350.53	52.51564	123.34	0.503420057	0.571559294	0.757294271
2	100	0	0.621902	0.713	1.405845	1.414735	1.386627	2.286402	1.844744	0.788907	12487	-2	0.714	2	2028500	377.48	66.86826	245.45	0.42921673	0.560856106	1.728753026
2	101	0	0.518422	0.553	1.271888	0.825858	0.890513	1.832876	1.205744	0.723899	12361	7.8	0.559	2	2038850	176.41	9.80131	22	0.281926158	0.580267146	2.186114831
3	27	0	0.713754	0.755	1.01275	0.820425	0.93819	1.892996	1.651878	0.8475	12444	14.4	0.792	3	2046000	86.64	6.04481	288.52	0.262162103	0.442150939	2.297505195
3	28	0	0.450042	0.466	1.528876	0.748246	0.730649	2.061697	1.184213	0.679015	12426	-2.4	0.467	3	2051000	151.02	7.49999	144.82	0.232235699	0.401018121	2.354635218
3	29	0	0.753705	0.834	0.791985	0.807038	0.844234	1.595904	1.450923	0.869385	12470	4.6	0.839	3	2051500	113.4	6.85615	1428.71	0.257069562	0.469506285	1.270925467
3	30	0	0.786681	0.805	0.8457	0.88064	0.92082	1.831131	1.550779	0.888182	12410	4.6	0.809	3	2053200	25.28	2.20328	583.66	0.25741796	0.389269916	2.290284637
3	31	0	0.69186	0.788	0.904087	0.978113	1.031791	1.628747	1.43385	0.833737	12410	5.5	0.793	3	2053800	705.68	36.16538	280.72	0.299970752	0.599847892	1.865157177
3	32	0	0.347974	0.413	2.054751	0.992355	1.083523	2.544744	1.500832	0.590981	12407	9.2	0.42	3	2055100	399.99	38.79042	30.54	0.321098263	0.620298971	1.577637009
3	33	0	0.70415	0.787	0.922883	1.038464	1.065718	1.696792	1.463802	0.839608	12416	2.6	0.788	3	2056900	423.07	33.49522	298.11	0.319756849	0.6333726	1.666751831
3	34	0	0.520366	0.597	1.418069	0.887836	1.014814	2.047669	1.521737	0.724271	12456	14.3	0.618	3	2059500	319.14	27.0257	485.41	0.277492841	0.596608214	1.188095389
3	35	0	0.587813	0.616	1.344407	0.880972	0.972854	2.094118	1.489321	0.770209	12437	10.4	0.628	3	2064000	192.21	9.95686	427.77	0.300188343	0.564004471	2.122633118
3	36	0	0.638491	0.742	1.047283	0.907859	1.023166	1.741895	1.543527	0.805806	12380	12.7	0.765	3	2065500	170.09	10.06294	252.58	0.298859182	0.615705775	1.732536643
3	37	0	0.646874	0.771	0.933394	1.324125	1.452796	1.570787	1.425542	0.813855	12469	9.7	0.777	3	2069700	372.62	23.01829	221.13	0.373703052	0.715195246	1.815425054
3	38	0	0.637289	0.739	1.017986	1.102216	1.255669	1.690358	1.50638	0.807766	12462	13.9	0.761	3	2070000	308.66	12.22606	270.61	0.350843217	0.682370556	1.909147775
3	39	0	0.599883	0.631	1.276888	0.916979	0.9874	2.018723	1.445336	0.777766	12413	7.7	0.638	3	2074500	223.3	10.70863	288.53	0.295724964	0.587704877	3.563780784
3	40	0	0.500084	0.488	2.165901	0.9103	1.16571	3.063429	2.090173	0.712714	12378	28.1	0.564	3	2077200	194	7.08453	121.69	0.279088138	0.343001017	0.867385201
3	41	0	0.742286	0.782	1.217435	0.821615	0.916791	2.39825	2.10368	0.862597	12432	11.6	0.811	3	2081500	132.21	6.46534	428.37	0.257859573	0.320793409	1.351501921
3	42	0	0.739952	0.79	1.029523	0.822856	0.876592	2.018957	1.730794	0.860623	12389	6.5	0.799	3	2082950	79.77	6.54582	460.85	0.25440017	0.453919252	1.891418979
3	43	0	0.707149	0.743	1.072562	0.990927	1.048637	1.982061	1.59651	0.842228	12462	5.8	0.748	3	2092500	21.88	2.57074	447.58	0.265666082	0.406554091	2.375526459
3	44	0	0.48745	0.569	1.766653	0.717323	0.760781	2.467783	1.72263	0.698398	9082	6.1	0.573	3	2096846	182.85	7.73462	19.57	0.223716993	0.319098297	1.523588433
3	45	0	0.624966	0.752	0.679172	1.302054	1.447466	1.109077	0.990261	0.806038	12353	11.2	0.743	3	2102908	106.88	10.48159	19.73	0.401272403	0.72981953	0.495561796
3	46	0	0.827332	0.823	0.704389	1.069924	1.070312	1.695211	1.434834	0.911935	12488	0	0.823	3	2108000	31.61	3.14028	1569.48	0.295389377	0.500014585	1.95289241
3	47	0	0.653118	0.719	1.486741	1.666219	1.807412	2.524421	2.04776	0.810091	12458	8.5	0.726	3	2111180	551.06	56.42993	131.47	0.464919806	0.636780747	1.708971685
3	48	0	0.694514	0.758	0.856969	1.391941	1.47009	1.550554	1.289991	0.834903	12460	5.6	0.759	3	2111500	454.02	35.95807	233.66	0.381828306	0.724851458	2.074367316
3	49	0	-0.005764	-0.873	79.608451	-5.032796	1.32118	79.383187	1.252191	0.028273	12470	0.6	-0.385	3	2112120	460.03	35.93547	322.27	0.374448259	0.698715844	2.174859337
3	50	0	-0.006931	-0.872	85.967461	-5.93579	1.563941	85.674533	1.168383	0.033684	12457	0.8	-0.384	3	2112360	405.86	23.71832	205.3	0.416001179	0.753729234	1.661487892
3	51	0	0.685796	0.745	0.982011	1.137033	1.21546	1.751976	1.441735	0.829362	12453	6.9	0.75	3	2118500	336.82	18.17467	400.53	0.324665515	0.651345198	2.453591486
3	52	0	-0.006197	-0.766	91.746888	-7.449955	0.983824	91.468116	2.197226	0.059999	10919	0.9	-0.358	3	2125000	190.23	9.32187	144.55	0.297263282	0.271949562	3.541405381
3	53	0	0.623595	0.727	1.584665	0.894844	0.895243	2.583017	2.132529	0.790462	12391	0	0.727	3	2128000	195.23	8.97028	273.48	0.29136442	0.402625266	1.819385889
3	54	0	0.735635	0.765	1.214578	1.765348	1.931157	2.362335	1.973703	0.860935	12127	9.4	0.773	3	2137727	602.18	65.11037	329.54	0.440334442	0.68054945	2.333934427
3	55	0	0.722054	0.74	1.307263	1.696739	1.709892	2.479723	1.948173	0.85237	10677	0.8	0.74	3	2140991	529.42	43.76522	521.99	0.45856122	0.654308495	1.833823251
3	56	0	0.690367	0.721	1.193182	1.40711	1.540564	2.144374	1.70953	0.834023	12447	9.5	0.731	3	2143000	399.35	27.07084	216.67	0.378918089	0.664090767	1.959430699
3	57	0	0.69148	0.71	1.405783	1.642668	1.758518	2.531012	1.952382	0.835258	12401	7.1	0.715	3	2143040	411.33	33.1444	66.48	0.415980468	0.599046225	2.087020216
3	58	0	0.72969	0.807	0.88206	1.509004	1.677996	1.69662	1.569183	0.862283	12455	11.2	0.814	3	2149000	403.91	39.54624	203.85	0.397696961	0.699589032	2.351479792
3	59	0	0.647502	0.693	1.198767	1.264218	1.230247	2.019175	1.541574	0.805973	12421	-2.7	0.694	3	2152100	414.31	40.11642	154.99	0.345189247	0.65484545	2.619208434
3	60	0	0.827959	0.841	1.006888	2.792112	2.860638	2.427626	2.114304	0.911252	12502	2.5	0.841	3	2177000	705.59	47.86459	526.77	0.542573792	0.733192898	2.145686664
3	61	0	0.792246	0.82	1.167245	2.837338	2.766022	2.560972	2.19986	0.891096	12493	-2.5	0.82	3	2178400	797.91	59.8088	151.28	0.549718106	0.722336618	2.050192921
3	62	0	0.510743	0.537	1.51133	0.649196	0.736327	2.160787	1.420751	0.718383	10235	13.4	0.555	3	2193340	167.93	7.49879	87.87	0.219134856	0.400188654	2.485086991
3	63	0	0.716129	0.639	0.879909	0.500317	0.667681	1.651569	1.664233	0.864269	10826	33.5	0.83	3	2196000	142.19	7.2448	1408.38	0.172656694	0.323145981	3.364532587
3	64	0	0.595655	0.648	1.448761	0.746118	0.827545	2.278463	1.720192	0.77282	10240	10.9	0.664	3	2198100	83.45	5.25896	79.49	0.243017358	0.437351335	1.987706002
