Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
5,0.893537,0.003,0.923,0.324946,-0.000161,-0.000001,1.000066,0.945312,0.945271,120,1
5,0.888453,-0.006,0.919,0.332574,0.000222,-0.000001,0.999943,0.942608,0.942578,120,1
5,0.89763,-0.032,0.926,0.318616,-0.000037,0.000001,0.999994,0.947523,0.947433,120,1
5,0.901643,-0.019,0.928,0.312444,-0.000102,0.000002,1.000433,0.949449,0.949549,120,1
5,0.88494,-0.005,0.916,0.337778,0.000115,0,0.999967,0.940634,0.940713,120,1
5,0.888699,-0.007,0.919,0.332379,-0.00014,0.000001,1.000461,0.942673,0.942708,120,1
5,0.907127,0.001,0.933,0.30347,0.000388,0.000001,0.999972,0.952491,0.952432,120,1
5,0.918914,-0.009,0.941,0.283632,-0.000164,0.000001,1.000226,0.958603,0.9586,120,1
5,0.906843,-0.004,0.933,0.303899,-0.00017,0,0.999859,0.952276,0.952283,120,1
5,0.885312,-0.017,0.916,0.337227,-0.000085,0.000001,0.999956,0.940926,0.94091,120,1
5,0.900016,0.011,0.927,0.314942,-0.000034,0,1.000188,0.948738,0.948692,120,1
5,0.900866,0.009,0.928,0.313602,0.000095,0.000001,1.000192,0.949088,0.949139,120,1
5,0.902097,0.549,0.929,0.311584,0.000003,0.000002,0.999986,0.949679,0.949788,120,1
5,0.905608,0.515,0.932,0.305806,-0.000001,0,0.999531,0.951699,0.951635,120,1
5,0.889514,0.003,0.92,0.330974,0.000059,0,0.999899,0.943167,0.94314,120,1
5,0.895016,0.015,0.924,0.322631,0.000076,0.000001,0.999909,0.945998,0.946053,120,1
5,0.903885,-0.015,0.93,0.308731,0.000119,-0.000001,1.000001,0.950629,0.950729,120,1
5,0.897838,-0.015,0.926,0.318296,0.0001,-0.000001,1.000008,0.947539,0.947543,120,1
5,0.863003,-0.059,0.899,0.368677,0.000027,-0.000001,1.000246,0.928992,0.928979,120,1
5,0.899524,0.01,0.927,0.315567,-0.000032,0,0.999718,0.948429,0.948432,120,1
5,0.900407,0.002,0.928,0.314234,-0.000095,0,0.999899,0.948936,0.948898,120,1
5,0.901574,-0.001,0.929,0.312364,0.000207,0,0.999824,0.949433,0.949513,120,1
5,0.905425,-0.002,0.932,0.30619,-0.00053,0,0.999818,0.951442,0.951538,120,1
5,0.903963,0,0.93,0.308572,0.000192,0.000001,0.999896,0.950735,0.95077,120,1
5,0.89884,-0.006,0.926,0.316736,0.000384,-0.000001,1.000023,0.947994,0.948072,120,1
